# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

00 CE, Add_rm8_r8
62 F57D4B 7C D3, EVEX_Vcvttph2w_zmm_k1z_zmmm512b16_sae
62 F57D48 7C 50 01, EVEX_Vcvttph2w_zmm_k1z_zmmm512b16_sae
62 F57DDB 7C 50 01, EVEX_Vcvttph2w_zmm_k1z_zmmm512b16_sae
62 F57E08 2C D3, EVEX_Vcvttsh2si_r32_xmmm16_sae
62 F57E08 2C 50 01, EVEX_Vcvttsh2si_r32_xmmm16_sae
62 F5FE08 2C D3, EVEX_Vcvttsh2si_r64_xmmm16_sae
62 F5FE08 2C 50 01, EVEX_Vcvttsh2si_r64_xmmm16_sae
62 F57E08 78 D3, EVEX_Vcvttsh2usi_r32_xmmm16_sae
62 F57E08 78 50 01, EVEX_Vcvttsh2usi_r32_xmmm16_sae
62 F5FE08 78 D3, EVEX_Vcvttsh2usi_r64_xmmm16_sae
62 F5FE08 78 50 01, EVEX_Vcvttsh2usi_r64_xmmm16_sae
62 F57F0B 7A D3, EVEX_Vcvtudq2ph_xmm_k1z_xmmm128b32
62 F57F08 7A 50 01, EVEX_Vcvtudq2ph_xmm_k1z_xmmm128b32
62 F57F9B 7A 50 01, EVEX_Vcvtudq2ph_xmm_k1z_xmmm128b32
62 F57F2B 7A D3, EVEX_Vcvtudq2ph_xmm_k1z_ymmm256b32
62 F57F28 7A 50 01, EVEX_Vcvtudq2ph_xmm_k1z_ymmm256b32
62 F57FBB 7A 50 01, EVEX_Vcvtudq2ph_xmm_k1z_ymmm256b32
62 F57F4B 7A D3, EVEX_Vcvtudq2ph_ymm_k1z_zmmm512b32_er
62 F57F48 7A 50 01, EVEX_Vcvtudq2ph_ymm_k1z_zmmm512b32_er
62 F57FDB 7A 50 01, EVEX_Vcvtudq2ph_ymm_k1z_zmmm512b32_er
62 F5FF0B 7A D3, EVEX_Vcvtuqq2ph_xmm_k1z_xmmm128b64
62 F5FF08 7A 50 01, EVEX_Vcvtuqq2ph_xmm_k1z_xmmm128b64
62 F5FF9B 7A 50 01, EVEX_Vcvtuqq2ph_xmm_k1z_xmmm128b64
62 F5FF2B 7A D3, EVEX_Vcvtuqq2ph_xmm_k1z_ymmm256b64
62 F5FF28 7A 50 01, EVEX_Vcvtuqq2ph_xmm_k1z_ymmm256b64
62 F5FFBB 7A 50 01, EVEX_Vcvtuqq2ph_xmm_k1z_ymmm256b64
62 F5FF4B 7A D3, EVEX_Vcvtuqq2ph_xmm_k1z_zmmm512b64_er
62 F5FF48 7A 50 01, EVEX_Vcvtuqq2ph_xmm_k1z_zmmm512b64_er
62 F5FFDB 7A 50 01, EVEX_Vcvtuqq2ph_xmm_k1z_zmmm512b64_er
62 F54E08 7B D3, EVEX_Vcvtusi2sh_xmm_xmm_rm32_er
62 F54E08 7B 50 01, EVEX_Vcvtusi2sh_xmm_xmm_rm32_er
62 F5CE08 7B D3, EVEX_Vcvtusi2sh_xmm_xmm_rm64_er
62 F5CE08 7B 50 01, EVEX_Vcvtusi2sh_xmm_xmm_rm64_er
62 F57F0B 7D D3, EVEX_Vcvtuw2ph_xmm_k1z_xmmm128b16
62 F57F08 7D 50 01, EVEX_Vcvtuw2ph_xmm_k1z_xmmm128b16
62 F57F9B 7D 50 01, EVEX_Vcvtuw2ph_xmm_k1z_xmmm128b16
62 F57F2B 7D D3, EVEX_Vcvtuw2ph_ymm_k1z_ymmm256b16
62 F57F28 7D 50 01, EVEX_Vcvtuw2ph_ymm_k1z_ymmm256b16
62 F57FBB 7D 50 01, EVEX_Vcvtuw2ph_ymm_k1z_ymmm256b16
62 F57F4B 7D D3, EVEX_Vcvtuw2ph_zmm_k1z_zmmm512b16_er
62 F57F48 7D 50 01, EVEX_Vcvtuw2ph_zmm_k1z_zmmm512b16_er
62 F57FDB 7D 50 01, EVEX_Vcvtuw2ph_zmm_k1z_zmmm512b16_er
62 F57E0B 7D D3, EVEX_Vcvtw2ph_xmm_k1z_xmmm128b16
62 F57E08 7D 50 01, EVEX_Vcvtw2ph_xmm_k1z_xmmm128b16
62 F57E9B 7D 50 01, EVEX_Vcvtw2ph_xmm_k1z_xmmm128b16
62 F57E2B 7D D3, EVEX_Vcvtw2ph_ymm_k1z_ymmm256b16
62 F57E28 7D 50 01, EVEX_Vcvtw2ph_ymm_k1z_ymmm256b16
62 F57EBB 7D 50 01, EVEX_Vcvtw2ph_ymm_k1z_ymmm256b16
62 F57E4B 7D D3, EVEX_Vcvtw2ph_zmm_k1z_zmmm512b16_er
62 F57E48 7D 50 01, EVEX_Vcvtw2ph_zmm_k1z_zmmm512b16_er
62 F57EDB 7D 50 01, EVEX_Vcvtw2ph_zmm_k1z_zmmm512b16_er
62 F54C0B 5E D3, EVEX_Vdivph_xmm_k1z_xmm_xmmm128b16
62 F54C0B 5E 50 01, EVEX_Vdivph_xmm_k1z_xmm_xmmm128b16
62 F54C9D 5E 50 01, EVEX_Vdivph_xmm_k1z_xmm_xmmm128b16
62 F54C2B 5E D3, EVEX_Vdivph_ymm_k1z_ymm_ymmm256b16
62 F54C2B 5E 50 01, EVEX_Vdivph_ymm_k1z_ymm_ymmm256b16
62 F54CBD 5E 50 01, EVEX_Vdivph_ymm_k1z_ymm_ymmm256b16
62 F54CDB 5E D3, EVEX_Vdivph_zmm_k1z_zmm_zmmm512b16_er
62 F54C4B 5E 50 01, EVEX_Vdivph_zmm_k1z_zmm_zmmm512b16_er
62 F54CDD 5E 50 01, EVEX_Vdivph_zmm_k1z_zmm_zmmm512b16_er
62 F54E0B 5E D3, EVEX_Vdivsh_xmm_k1z_xmm_xmmm16_er
62 F54E0B 5E 50 01, EVEX_Vdivsh_xmm_k1z_xmm_xmmm16_er
62 F64F0B 56 D3, EVEX_Vfcmaddcph_xmm_k1z_xmm_xmmm128b32
62 F64F0B 56 50 01, EVEX_Vfcmaddcph_xmm_k1z_xmm_xmmm128b32
62 F64F9D 56 50 01, EVEX_Vfcmaddcph_xmm_k1z_xmm_xmmm128b32
62 F64F2B 56 D3, EVEX_Vfcmaddcph_ymm_k1z_ymm_ymmm256b32
62 F64F2B 56 50 01, EVEX_Vfcmaddcph_ymm_k1z_ymm_ymmm256b32
62 F64FBD 56 50 01, EVEX_Vfcmaddcph_ymm_k1z_ymm_ymmm256b32
62 F64FDB 56 D3, EVEX_Vfcmaddcph_zmm_k1z_zmm_zmmm512b32_er
62 F64F4B 56 50 01, EVEX_Vfcmaddcph_zmm_k1z_zmm_zmmm512b32_er
62 F64FDD 56 50 01, EVEX_Vfcmaddcph_zmm_k1z_zmm_zmmm512b32_er
62 F64E0B 56 D3, EVEX_Vfmaddcph_xmm_k1z_xmm_xmmm128b32
62 F64E0B 56 50 01, EVEX_Vfmaddcph_xmm_k1z_xmm_xmmm128b32
62 F64E9D 56 50 01, EVEX_Vfmaddcph_xmm_k1z_xmm_xmmm128b32
62 F64E2B 56 D3, EVEX_Vfmaddcph_ymm_k1z_ymm_ymmm256b32
62 F64E2B 56 50 01, EVEX_Vfmaddcph_ymm_k1z_ymm_ymmm256b32
62 F64EBD 56 50 01, EVEX_Vfmaddcph_ymm_k1z_ymm_ymmm256b32
62 F64EDB 56 D3, EVEX_Vfmaddcph_zmm_k1z_zmm_zmmm512b32_er
62 F64E4B 56 50 01, EVEX_Vfmaddcph_zmm_k1z_zmm_zmmm512b32_er
62 F64EDD 56 50 01, EVEX_Vfmaddcph_zmm_k1z_zmm_zmmm512b32_er
62 F64F0B 57 D3, EVEX_Vfcmaddcsh_xmm_k1z_xmm_xmmm32_er
62 F64F0B 57 50 01, EVEX_Vfcmaddcsh_xmm_k1z_xmm_xmmm32_er
62 F64E0B 57 D3, EVEX_Vfmaddcsh_xmm_k1z_xmm_xmmm32_er
62 F64E0B 57 50 01, EVEX_Vfmaddcsh_xmm_k1z_xmm_xmmm32_er
62 F64F0B D6 D3, EVEX_Vfcmulcph_xmm_k1z_xmm_xmmm128b32
62 F64F0B D6 50 01, EVEX_Vfcmulcph_xmm_k1z_xmm_xmmm128b32
62 F64F9D D6 50 01, EVEX_Vfcmulcph_xmm_k1z_xmm_xmmm128b32
62 F64F2B D6 D3, EVEX_Vfcmulcph_ymm_k1z_ymm_ymmm256b32
62 F64F2B D6 50 01, EVEX_Vfcmulcph_ymm_k1z_ymm_ymmm256b32
62 F64FBD D6 50 01, EVEX_Vfcmulcph_ymm_k1z_ymm_ymmm256b32
62 F64FDB D6 D3, EVEX_Vfcmulcph_zmm_k1z_zmm_zmmm512b32_er
62 F64F4B D6 50 01, EVEX_Vfcmulcph_zmm_k1z_zmm_zmmm512b32_er
62 F64FDD D6 50 01, EVEX_Vfcmulcph_zmm_k1z_zmm_zmmm512b32_er
62 F64E0B D6 D3, EVEX_Vfmulcph_xmm_k1z_xmm_xmmm128b32
62 F64E0B D6 50 01, EVEX_Vfmulcph_xmm_k1z_xmm_xmmm128b32
62 F64E9D D6 50 01, EVEX_Vfmulcph_xmm_k1z_xmm_xmmm128b32
62 F64E2B D6 D3, EVEX_Vfmulcph_ymm_k1z_ymm_ymmm256b32
62 F64E2B D6 50 01, EVEX_Vfmulcph_ymm_k1z_ymm_ymmm256b32
62 F64EBD D6 50 01, EVEX_Vfmulcph_ymm_k1z_ymm_ymmm256b32
62 F64EDB D6 D3, EVEX_Vfmulcph_zmm_k1z_zmm_zmmm512b32_er
62 F64E4B D6 50 01, EVEX_Vfmulcph_zmm_k1z_zmm_zmmm512b32_er
62 F64EDD D6 50 01, EVEX_Vfmulcph_zmm_k1z_zmm_zmmm512b32_er
62 F64F0B D7 D3, EVEX_Vfcmulcsh_xmm_k1z_xmm_xmmm32_er
62 F64F0B D7 50 01, EVEX_Vfcmulcsh_xmm_k1z_xmm_xmmm32_er
62 F64E0B D7 D3, EVEX_Vfmulcsh_xmm_k1z_xmm_xmmm32_er
62 F64E0B D7 50 01, EVEX_Vfmulcsh_xmm_k1z_xmm_xmmm32_er
62 F64D8B 96 D3, EVEX_Vfmaddsub132ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B 96 50 01, EVEX_Vfmaddsub132ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D 96 50 01, EVEX_Vfmaddsub132ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB 96 D3, EVEX_Vfmaddsub132ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B 96 50 01, EVEX_Vfmaddsub132ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD 96 50 01, EVEX_Vfmaddsub132ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB 96 D3, EVEX_Vfmaddsub132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B 96 50 01, EVEX_Vfmaddsub132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD 96 50 01, EVEX_Vfmaddsub132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B A6 D3, EVEX_Vfmaddsub213ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B A6 50 01, EVEX_Vfmaddsub213ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D A6 50 01, EVEX_Vfmaddsub213ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB A6 D3, EVEX_Vfmaddsub213ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B A6 50 01, EVEX_Vfmaddsub213ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD A6 50 01, EVEX_Vfmaddsub213ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB A6 D3, EVEX_Vfmaddsub213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B A6 50 01, EVEX_Vfmaddsub213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD A6 50 01, EVEX_Vfmaddsub213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B B6 D3, EVEX_Vfmaddsub231ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B B6 50 01, EVEX_Vfmaddsub231ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D B6 50 01, EVEX_Vfmaddsub231ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB B6 D3, EVEX_Vfmaddsub231ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B B6 50 01, EVEX_Vfmaddsub231ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD B6 50 01, EVEX_Vfmaddsub231ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB B6 D3, EVEX_Vfmaddsub231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B B6 50 01, EVEX_Vfmaddsub231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD B6 50 01, EVEX_Vfmaddsub231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B 97 D3, EVEX_Vfmsubadd132ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B 97 50 01, EVEX_Vfmsubadd132ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D 97 50 01, EVEX_Vfmsubadd132ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB 97 D3, EVEX_Vfmsubadd132ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B 97 50 01, EVEX_Vfmsubadd132ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD 97 50 01, EVEX_Vfmsubadd132ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB 97 D3, EVEX_Vfmsubadd132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B 97 50 01, EVEX_Vfmsubadd132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD 97 50 01, EVEX_Vfmsubadd132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B A7 D3, EVEX_Vfmsubadd213ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B A7 50 01, EVEX_Vfmsubadd213ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D A7 50 01, EVEX_Vfmsubadd213ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB A7 D3, EVEX_Vfmsubadd213ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B A7 50 01, EVEX_Vfmsubadd213ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD A7 50 01, EVEX_Vfmsubadd213ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB A7 D3, EVEX_Vfmsubadd213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B A7 50 01, EVEX_Vfmsubadd213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD A7 50 01, EVEX_Vfmsubadd213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B B7 D3, EVEX_Vfmsubadd231ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B B7 50 01, EVEX_Vfmsubadd231ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D B7 50 01, EVEX_Vfmsubadd231ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB B7 D3, EVEX_Vfmsubadd231ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B B7 50 01, EVEX_Vfmsubadd231ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD B7 50 01, EVEX_Vfmsubadd231ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB B7 D3, EVEX_Vfmsubadd231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B B7 50 01, EVEX_Vfmsubadd231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD B7 50 01, EVEX_Vfmsubadd231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B 98 D3, EVEX_Vfmadd132ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B 98 50 01, EVEX_Vfmadd132ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D 98 50 01, EVEX_Vfmadd132ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB 98 D3, EVEX_Vfmadd132ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B 98 50 01, EVEX_Vfmadd132ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD 98 50 01, EVEX_Vfmadd132ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB 98 D3, EVEX_Vfmadd132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B 98 50 01, EVEX_Vfmadd132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD 98 50 01, EVEX_Vfmadd132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B A8 D3, EVEX_Vfmadd213ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B A8 50 01, EVEX_Vfmadd213ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D A8 50 01, EVEX_Vfmadd213ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB A8 D3, EVEX_Vfmadd213ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B A8 50 01, EVEX_Vfmadd213ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD A8 50 01, EVEX_Vfmadd213ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB A8 D3, EVEX_Vfmadd213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B A8 50 01, EVEX_Vfmadd213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD A8 50 01, EVEX_Vfmadd213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B B8 D3, EVEX_Vfmadd231ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B B8 50 01, EVEX_Vfmadd231ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D B8 50 01, EVEX_Vfmadd231ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB B8 D3, EVEX_Vfmadd231ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B B8 50 01, EVEX_Vfmadd231ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD B8 50 01, EVEX_Vfmadd231ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB B8 D3, EVEX_Vfmadd231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B B8 50 01, EVEX_Vfmadd231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD B8 50 01, EVEX_Vfmadd231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B 9C D3, EVEX_Vfnmadd132ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B 9C 50 01, EVEX_Vfnmadd132ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D 9C 50 01, EVEX_Vfnmadd132ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB 9C D3, EVEX_Vfnmadd132ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B 9C 50 01, EVEX_Vfnmadd132ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD 9C 50 01, EVEX_Vfnmadd132ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB 9C D3, EVEX_Vfnmadd132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B 9C 50 01, EVEX_Vfnmadd132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD 9C 50 01, EVEX_Vfnmadd132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B AC D3, EVEX_Vfnmadd213ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B AC 50 01, EVEX_Vfnmadd213ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D AC 50 01, EVEX_Vfnmadd213ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB AC D3, EVEX_Vfnmadd213ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B AC 50 01, EVEX_Vfnmadd213ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD AC 50 01, EVEX_Vfnmadd213ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB AC D3, EVEX_Vfnmadd213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B AC 50 01, EVEX_Vfnmadd213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD AC 50 01, EVEX_Vfnmadd213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B BC D3, EVEX_Vfnmadd231ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B BC 50 01, EVEX_Vfnmadd231ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D BC 50 01, EVEX_Vfnmadd231ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB BC D3, EVEX_Vfnmadd231ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B BC 50 01, EVEX_Vfnmadd231ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD BC 50 01, EVEX_Vfnmadd231ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB BC D3, EVEX_Vfnmadd231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B BC 50 01, EVEX_Vfnmadd231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD BC 50 01, EVEX_Vfnmadd231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B 99 D3, EVEX_Vfmadd132sh_xmm_k1z_xmm_xmmm16_er
62 F64D0B 99 50 01, EVEX_Vfmadd132sh_xmm_k1z_xmm_xmmm16_er
62 F64D8B A9 D3, EVEX_Vfmadd213sh_xmm_k1z_xmm_xmmm16_er
62 F64D0B A9 50 01, EVEX_Vfmadd213sh_xmm_k1z_xmm_xmmm16_er
62 F64D8B B9 D3, EVEX_Vfmadd231sh_xmm_k1z_xmm_xmmm16_er
62 F64D0B B9 50 01, EVEX_Vfmadd231sh_xmm_k1z_xmm_xmmm16_er
62 F64D8B 9D D3, EVEX_Vfnmadd132sh_xmm_k1z_xmm_xmmm16_er
62 F64D0B 9D 50 01, EVEX_Vfnmadd132sh_xmm_k1z_xmm_xmmm16_er
62 F64D8B AD D3, EVEX_Vfnmadd213sh_xmm_k1z_xmm_xmmm16_er
62 F64D0B AD 50 01, EVEX_Vfnmadd213sh_xmm_k1z_xmm_xmmm16_er
62 F64D8B BD D3, EVEX_Vfnmadd231sh_xmm_k1z_xmm_xmmm16_er
62 F64D0B BD 50 01, EVEX_Vfnmadd231sh_xmm_k1z_xmm_xmmm16_er
62 F64D8B 9A D3, EVEX_Vfmsub132ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B 9A 50 01, EVEX_Vfmsub132ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D 9A 50 01, EVEX_Vfmsub132ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB 9A D3, EVEX_Vfmsub132ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B 9A 50 01, EVEX_Vfmsub132ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD 9A 50 01, EVEX_Vfmsub132ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB 9A D3, EVEX_Vfmsub132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B 9A 50 01, EVEX_Vfmsub132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD 9A 50 01, EVEX_Vfmsub132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B AA D3, EVEX_Vfmsub213ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B AA 50 01, EVEX_Vfmsub213ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D AA 50 01, EVEX_Vfmsub213ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB AA D3, EVEX_Vfmsub213ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B AA 50 01, EVEX_Vfmsub213ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD AA 50 01, EVEX_Vfmsub213ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB AA D3, EVEX_Vfmsub213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B AA 50 01, EVEX_Vfmsub213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD AA 50 01, EVEX_Vfmsub213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B BA D3, EVEX_Vfmsub231ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B BA 50 01, EVEX_Vfmsub231ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D BA 50 01, EVEX_Vfmsub231ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB BA D3, EVEX_Vfmsub231ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B BA 50 01, EVEX_Vfmsub231ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD BA 50 01, EVEX_Vfmsub231ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB BA D3, EVEX_Vfmsub231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B BA 50 01, EVEX_Vfmsub231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD BA 50 01, EVEX_Vfmsub231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B 9E D3, EVEX_Vfnmsub132ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B 9E 50 01, EVEX_Vfnmsub132ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D 9E 50 01, EVEX_Vfnmsub132ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB 9E D3, EVEX_Vfnmsub132ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B 9E 50 01, EVEX_Vfnmsub132ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD 9E 50 01, EVEX_Vfnmsub132ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB 9E D3, EVEX_Vfnmsub132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B 9E 50 01, EVEX_Vfnmsub132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD 9E 50 01, EVEX_Vfnmsub132ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B AE D3, EVEX_Vfnmsub213ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B AE 50 01, EVEX_Vfnmsub213ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D AE 50 01, EVEX_Vfnmsub213ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB AE D3, EVEX_Vfnmsub213ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B AE 50 01, EVEX_Vfnmsub213ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD AE 50 01, EVEX_Vfnmsub213ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB AE D3, EVEX_Vfnmsub213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B AE 50 01, EVEX_Vfnmsub213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD AE 50 01, EVEX_Vfnmsub213ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B BE D3, EVEX_Vfnmsub231ph_xmm_k1z_xmm_xmmm128b16
62 F64D0B BE 50 01, EVEX_Vfnmsub231ph_xmm_k1z_xmm_xmmm128b16
62 F64D9D BE 50 01, EVEX_Vfnmsub231ph_xmm_k1z_xmm_xmmm128b16
62 F64DAB BE D3, EVEX_Vfnmsub231ph_ymm_k1z_ymm_ymmm256b16
62 F64D2B BE 50 01, EVEX_Vfnmsub231ph_ymm_k1z_ymm_ymmm256b16
62 F64DBD BE 50 01, EVEX_Vfnmsub231ph_ymm_k1z_ymm_ymmm256b16
62 F64DDB BE D3, EVEX_Vfnmsub231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D4B BE 50 01, EVEX_Vfnmsub231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64DDD BE 50 01, EVEX_Vfnmsub231ph_zmm_k1z_zmm_zmmm512b16_er
62 F64D8B 9B D3, EVEX_Vfmsub132sh_xmm_k1z_xmm_xmmm16_er
62 F64D0B 9B 50 01, EVEX_Vfmsub132sh_xmm_k1z_xmm_xmmm16_er
62 F64D8B AB D3, EVEX_Vfmsub213sh_xmm_k1z_xmm_xmmm16_er
62 F64D0B AB 50 01, EVEX_Vfmsub213sh_xmm_k1z_xmm_xmmm16_er
62 F64D8B BB D3, EVEX_Vfmsub231sh_xmm_k1z_xmm_xmmm16_er
