# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

# pushw es
66 06, Pushw_ES, Legacy, INTEL8086, op0=r r=ss rw=xsp r=es wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
66 AD, Lodsw_AX_m16, Legacy, INTEL8086, fr=d op0=w op1=r w=ax r=ds rw=esi rm=ds:esi;UInt16
# lodsd
AD, Lodsd_EAX_m32, Legacy, INTEL386, fr=d op0=w op1=r w=eax r=ds rw=esi rm=ds:esi;UInt32
# scasb
AE, Scasb_AL_m8, Legacy, INTEL8086, fr=d fw=oszacp op0=r op1=r r=al r=es rw=edi rm=es:edi;UInt8
# scasw
66 AF, Scasw_AX_m16, Legacy, INTEL8086, fr=d fw=oszacp op0=r op1=r r=ax r=es rw=edi rm=es:edi;UInt16
# scasd
AF, Scasd_EAX_m32, Legacy, INTEL386, fr=d fw=oszacp op0=r op1=r r=eax r=es rw=edi rm=es:edi;UInt32
# cmpxchg8b qword ptr [eax]
0FC7 08, Cmpxchg8b_m64, Legacy, CX8, fw=z op0=rcw rcw=edx;eax cr=ecx;ebx r=ds r=eax rcwm=ds:eax;UInt64
# div bh
F6 F7, Div_rm8, Legacy, INTEL8086, fu=acopsz op0=r r=bh rw=ax
# div byte ptr [eax]
F6 30, Div_rm8, Legacy, INTEL8086, fu=acopsz op0=r r=ds r=eax rm=ds:eax;UInt8 rw=ax
# idiv al
F6 F8, Idiv_rm8, Legacy, INTEL8086, fu=acopsz op0=r r=al rw=ax
# idiv byte ptr [eax]
F6 38, Idiv_rm8, Legacy, INTEL8086, fu=acopsz op0=r r=ds r=eax rm=ds:eax;Int8 rw=ax
# div di
66 F7 F7, Div_rm16, Legacy, INTEL8086, fu=acopsz op0=r r=di rw=dx;ax
# div word ptr [eax]
66 F7 30, Div_rm16, Legacy, INTEL8086, fu=acopsz op0=r r=ds r=eax rm=ds:eax;UInt16 rw=dx;ax
# div edi
F7 F7, Div_rm32, Legacy, INTEL386, fu=acopsz op0=r r=edi rw=edx;eax
# div dword ptr [eax]
F7 30, Div_rm32, Legacy, INTEL386, fu=acopsz op0=r r=ds r=eax rm=ds:eax;UInt32 rw=edx;eax
# idiv ax
66 F7 F8, Idiv_rm16, Legacy, INTEL8086, fu=acopsz op0=r r=ax rw=dx;ax
# idiv word ptr [eax]
66 F7 38, Idiv_rm16, Legacy, INTEL8086, fu=acopsz op0=r r=ds r=eax rm=ds:eax;Int16 rw=dx;ax
# idiv eax
F7 F8, Idiv_rm32, Legacy, INTEL386, fu=acopsz op0=r r=eax rw=edx;eax
# idiv dword ptr [eax]
F7 38, Idiv_rm32, Legacy, INTEL386, fu=acopsz op0=r r=ds r=eax rm=ds:eax;Int32 rw=edx;eax
# mul ch
F6 E5, Mul_rm8, Legacy, INTEL8086, fw=oc fu=apsz op0=r r=ch r=al w=ax
# mul byte ptr [eax]
F6 20, Mul_rm8, Legacy, INTEL8086, fw=oc fu=apsz op0=r r=ds r=eax rm=ds:eax;UInt8 r=al w=ax
# imul dh
F6 EE, Imul_rm8, Legacy, INTEL8086, fw=oc fu=apsz op0=r r=dh r=al w=ax
# imul byte ptr [eax]
F6 28, Imul_rm8, Legacy, INTEL8086, fw=oc fu=apsz op0=r r=ds r=eax rm=ds:eax;Int8 r=al w=ax
# mul bp
66 F7 E5, Mul_rm16, Legacy, INTEL8086, fw=oc fu=apsz op0=r r=bp r=ax w=dx;ax
# mul word ptr [eax]
66 F7 20, Mul_rm16, Legacy, INTEL8086, fw=oc fu=apsz op0=r r=ds r=eax rm=ds:eax;UInt16 r=ax w=dx;ax
# mul ebp
F7 E5, Mul_rm32, Legacy, INTEL386, fw=oc fu=apsz op0=r r=ebp r=eax w=edx;eax
# mul dword ptr [eax]
F7 20, Mul_rm32, Legacy, INTEL386, fw=oc fu=apsz op0=r r=ds r=eax rm=ds:eax;UInt32 r=eax w=edx;eax
# imul si
66 F7 EE, Imul_rm16, Legacy, INTEL8086, fw=oc fu=apsz op0=r r=si r=ax w=dx;ax
# imul word ptr [eax]
66 F7 28, Imul_rm16, Legacy, INTEL8086, fw=oc fu=apsz op0=r r=ds r=eax rm=ds:eax;Int16 r=ax w=dx;ax
# imul esi
F7 EE, Imul_rm32, Legacy, INTEL386, fw=oc fu=apsz op0=r r=esi r=eax w=edx;eax
# imul dword ptr [eax]
F7 28, Imul_rm32, Legacy, INTEL386, fw=oc fu=apsz op0=r r=ds r=eax rm=ds:eax;Int32 r=eax w=edx;eax
# sysenter
0F34, Sysenter, Legacy, SEP, fc=i flow=Call w=esp
# sysexit
0F35, Sysexitd, Legacy, SEP, priv flow=Return r=ecx;edx w=esp w=cs;ss
# getsec
0F37, Getsecd, Legacy, SMX, save-restore r=eax
# enclv
0F01 C0, Enclv, Legacy, OSS, fw=acopsz priv rcw=eax cr=ecx;edx;ebx;ds cw=ecx;edx;ebx
# enclv
67 64 0F01 C0, Enclv, Legacy, OSS, fw=acopsz priv rcw=eax cr=ecx;edx;ebx;ds cw=ecx;edx;ebx
# vmcall
0F01 C1, Vmcall, Legacy, VMX, fc=aops fw=cz flow=Call
# vmlaunch
0F01 C2, Vmlaunch, Legacy, VMX, fw=zc fc=osap priv flow=Call
# vmresume
0F01 C3, Vmresume, Legacy, VMX, fw=zc fc=osap priv flow=Call
# vmxoff
0F01 C4, Vmxoff, Legacy, VMX, fw=cz fc=aops priv
# encls
0F01 CF, Encls, Legacy, SGX1, fw=acopsz priv rcw=eax cr=ecx;edx;ebx;ds cw=ecx;edx;ebx
# encls
67 64 0F01 CF, Encls, Legacy, SGX1, fw=acopsz priv rcw=eax cr=ecx;edx;ebx;ds cw=ecx;edx;ebx
# xgetbv
0F01 D0, Xgetbv, Legacy, XSAVE, r=ecx w=eax;edx
# xsetbv
0F01 D1, Xsetbv, Legacy, XSAVE, priv r=eax;ecx;edx
# vmfunc
0F01 D4, Vmfunc, Legacy, VMX, fw=acopsz r=eax r=ecx
# enclu
0F01 D7, Enclu, Legacy, SGX1, fw=acopsz rcw=eax cr=ecx;edx;ebx;ds cw=ecx;edx;ebx
# enclu
67 64 0F01 D7, Enclu, Legacy, SGX1, fw=acopsz rcw=eax cr=ecx;edx;ebx;ds cw=ecx;edx;ebx
# rdpkru
0F01 EE, Rdpkru, Legacy, PKU, r=ecx w=eax;edx
# wrpkru
0F01 EF, Wrpkru, Legacy, PKU, r=eax;ecx;edx
# rdtscp
0F01 F9, Rdtscp, Legacy, RDTSCP, w=eax;ecx;edx
# xlatb
D7, Xlat_m8, Legacy, INTEL8086, op0=r rw=al r=ds r=ebx rm=ds:ebx+al;UInt8
# vmovups xmm1,xmm5
C5F8 10 CD, VEX_Vmovups_xmm_xmmm128, VEX, AVX, op0=w op1=r w=vmm1 r=xmm5
# vmovups xmm2,xmm3
62 F17C08 10 D3, EVEX_Vmovups_xmm_k1z_xmmm128, EVEX, AVX512VL;AVX512F, op0=w op1=r w=vmm2 r=xmm3
# repne insb
F2 6C, Insb_m8_DX, Legacy, INTEL186, priv fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=dx cwm=es:edi;Unknown
# repne insw
F2 66 6D, Insw_m16_DX, Legacy, INTEL186, priv fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=dx cwm=es:edi;Unknown
# repne insd
F2 6D, Insd_m32_DX, Legacy, INTEL386, priv fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=dx cwm=es:edi;Unknown
# repne outsb
F2 6E, Outsb_DX_m8, Legacy, INTEL186, priv fr=d op0=cr op1=cr rcw=ecx cr=dx cr=ds cr=esi cw=esi crm=ds:esi;Unknown
# repne outsw
F2 66 6F, Outsw_DX_m16, Legacy, INTEL186, priv fr=d op0=cr op1=cr rcw=ecx cr=dx cr=ds cr=esi cw=esi crm=ds:esi;Unknown
# repne outsd
F2 6F, Outsd_DX_m32, Legacy, INTEL386, priv fr=d op0=cr op1=cr rcw=ecx cr=dx cr=ds cr=esi cw=esi crm=ds:esi;Unknown
# repne movsb
F2 A4, Movsb_m8_m8, Legacy, INTEL8086, fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=ds cr=esi cw=esi cwm=es:edi;Unknown crm=ds:esi;Unknown
# repne movsw
F2 66 A5, Movsw_m16_m16, Legacy, INTEL8086, fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=ds cr=esi cw=esi cwm=es:edi;Unknown crm=ds:esi;Unknown
# repne movsd
F2 A5, Movsd_m32_m32, Legacy, INTEL386, fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=ds cr=esi cw=esi cwm=es:edi;Unknown crm=ds:esi;Unknown
# repne cmpsb
F2 A6, Cmpsb_m8_m8, Legacy, INTEL8086, fr=d fw=oszacp op0=cr op1=cr rcw=ecx cr=ds cr=esi cw=esi cr=es cr=edi cw=edi crm=ds:esi;Unknown crm=es:edi;Unknown
# repne cmpsw
F2 66 A7, Cmpsw_m16_m16, Legacy, INTEL8086, fr=d fw=oszacp op0=cr op1=cr rcw=ecx cr=ds cr=esi cw=esi cr=es cr=edi cw=edi crm=ds:esi;Unknown crm=es:edi;Unknown
# repne cmpsd
F2 A7, Cmpsd_m32_m32, Legacy, INTEL386, fr=d fw=oszacp op0=cr op1=cr rcw=ecx cr=ds cr=esi cw=esi cr=es cr=edi cw=edi crm=ds:esi;Unknown crm=es:edi;Unknown
# repne stosb
F2 AA, Stosb_m8_AL, Legacy, INTEL8086, fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=al cwm=es:edi;Unknown
# repne stosw
F2 66 AB, Stosw_m16_AX, Legacy, INTEL8086, fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=ax cwm=es:edi;Unknown
# repne stosd
F2 AB, Stosd_m32_EAX, Legacy, INTEL386, fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=eax cwm=es:edi;Unknown
# repne lodsb
F2 AC, Lodsb_AL_m8, Legacy, INTEL8086, fr=d op0=cw op1=cr cw=al rcw=ecx cr=ds cr=esi cw=esi crm=ds:esi;Unknown
# repne lodsw
F2 66 AD, Lodsw_AX_m16, Legacy, INTEL8086, fr=d op0=cw op1=cr cw=ax rcw=ecx cr=ds cr=esi cw=esi crm=ds:esi;Unknown
# repne lodsd
F2 AD, Lodsd_EAX_m32, Legacy, INTEL386, fr=d op0=cw op1=cr cw=eax rcw=ecx cr=ds cr=esi cw=esi crm=ds:esi;Unknown
# repne scasb
F2 AE, Scasb_AL_m8, Legacy, INTEL8086, fr=d fw=oszacp op0=cr op1=cr cr=al rcw=ecx cr=es cr=edi cw=edi crm=es:edi;Unknown
# repne scasw
F2 66 AF, Scasw_AX_m16, Legacy, INTEL8086, fr=d fw=oszacp op0=cr op1=cr cr=ax rcw=ecx cr=es cr=edi cw=edi crm=es:edi;Unknown
# repne scasd
F2 AF, Scasd_EAX_m32, Legacy, INTEL386, fr=d fw=oszacp op0=cr op1=cr cr=eax rcw=ecx cr=es cr=edi cw=edi crm=es:edi;Unknown
# rep insb
F3 6C, Insb_m8_DX, Legacy, INTEL186, priv fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=dx cwm=es:edi;Unknown
# rep insw
F3 66 6D, Insw_m16_DX, Legacy, INTEL186, priv fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=dx cwm=es:edi;Unknown
# rep insd
F3 6D, Insd_m32_DX, Legacy, INTEL386, priv fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=dx cwm=es:edi;Unknown
# rep outsb
F3 6E, Outsb_DX_m8, Legacy, INTEL186, priv fr=d op0=cr op1=cr rcw=ecx cr=dx cr=ds cr=esi cw=esi crm=ds:esi;Unknown
# rep outsw
F3 66 6F, Outsw_DX_m16, Legacy, INTEL186, priv fr=d op0=cr op1=cr rcw=ecx cr=dx cr=ds cr=esi cw=esi crm=ds:esi;Unknown
# rep outsd
F3 6F, Outsd_DX_m32, Legacy, INTEL386, priv fr=d op0=cr op1=cr rcw=ecx cr=dx cr=ds cr=esi cw=esi crm=ds:esi;Unknown
# rep movsb
F3 A4, Movsb_m8_m8, Legacy, INTEL8086, fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=ds cr=esi cw=esi cwm=es:edi;Unknown crm=ds:esi;Unknown
# rep movsw
F3 66 A5, Movsw_m16_m16, Legacy, INTEL8086, fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=ds cr=esi cw=esi cwm=es:edi;Unknown crm=ds:esi;Unknown
# rep movsd
F3 A5, Movsd_m32_m32, Legacy, INTEL386, fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=ds cr=esi cw=esi cwm=es:edi;Unknown crm=ds:esi;Unknown
# repe cmpsb
F3 A6, Cmpsb_m8_m8, Legacy, INTEL8086, fr=d fw=oszacp op0=cr op1=cr rcw=ecx cr=ds cr=esi cw=esi cr=es cr=edi cw=edi crm=ds:esi;Unknown crm=es:edi;Unknown
# repe cmpsw
F3 66 A7, Cmpsw_m16_m16, Legacy, INTEL8086, fr=d fw=oszacp op0=cr op1=cr rcw=ecx cr=ds cr=esi cw=esi cr=es cr=edi cw=edi crm=ds:esi;Unknown crm=es:edi;Unknown
# repe cmpsd
F3 A7, Cmpsd_m32_m32, Legacy, INTEL386, fr=d fw=oszacp op0=cr op1=cr rcw=ecx cr=ds cr=esi cw=esi cr=es cr=edi cw=edi crm=ds:esi;Unknown crm=es:edi;Unknown
# rep stosb
F3 AA, Stosb_m8_AL, Legacy, INTEL8086, fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=al cwm=es:edi;Unknown
# rep stosw
F3 66 AB, Stosw_m16_AX, Legacy, INTEL8086, fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=ax cwm=es:edi;Unknown
# rep stosd
F3 AB, Stosd_m32_EAX, Legacy, INTEL386, fr=d op0=cw op1=cr rcw=ecx cr=es cr=edi cw=edi cr=eax cwm=es:edi;Unknown
# rep lodsb
F3 AC, Lodsb_AL_m8, Legacy, INTEL8086, fr=d op0=cw op1=cr cw=al rcw=ecx cr=ds cr=esi cw=esi crm=ds:esi;Unknown
# rep lodsw
F3 66 AD, Lodsw_AX_m16, Legacy, INTEL8086, fr=d op0=cw op1=cr cw=ax rcw=ecx cr=ds cr=esi cw=esi crm=ds:esi;Unknown
# rep lodsd
F3 AD, Lodsd_EAX_m32, Legacy, INTEL386, fr=d op0=cw op1=cr cw=eax rcw=ecx cr=ds cr=esi cw=esi crm=ds:esi;Unknown
# repe scasb
F3 AE, Scasb_AL_m8, Legacy, INTEL8086, fr=d fw=oszacp op0=cr op1=cr cr=al rcw=ecx cr=es cr=edi cw=edi crm=es:edi;Unknown
# repe scasw
F3 66 AF, Scasw_AX_m16, Legacy, INTEL8086, fr=d fw=oszacp op0=cr op1=cr cr=ax rcw=ecx cr=es cr=edi cw=edi crm=es:edi;Unknown
# repe scasd
F3 AF, Scasd_EAX_m32, Legacy, INTEL386, fr=d fw=oszacp op0=cr op1=cr cr=eax rcw=ecx cr=es cr=edi cw=edi crm=es:edi;Unknown
# push word ptr [esp+10h]
66 FF 74 24 10, Push_rm16, Legacy, INTEL8086, op0=r r=ss rw=xsp r=esp rm=ss:esp+0x10;UInt16 wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push dword ptr [esp+10h]
FF 74 24 10, Push_rm32, Legacy, INTEL386, op0=r r=ss rw=xsp r=esp rm=ss:esp+0x10;UInt32 wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# pop word ptr [esp+10h]
66 8F 44 24 10, Pop_rm16, Legacy, INTEL8086, op0=w r=ss rw=xsp r=esp wm=ss:esp+0x12;UInt16 rm=ss:xsp;UInt16 stack=2
# pop dword ptr [esp+10h]
8F 44 24 10, Pop_rm32, Legacy, INTEL386, op0=w r=ss rw=xsp r=esp wm=ss:esp+0x14;UInt32 rm=ss:xsp;UInt32 stack=4
# pcmpestrm xmm1,xmm5,0A5h
66 0F3A60 CD A5, Pcmpestrm_xmm_xmmm128_imm8, Legacy, SSE4_2, fw=cosz fc=ap op0=r op1=r op2=r r=xmm1 r=xmm5 r=eax;edx w=xmm0
# pcmpestrm xmm1,[eax],0A5h
66 0F3A60 08 A5, Pcmpestrm_xmm_xmmm128_imm8, Legacy, SSE4_2, fw=cosz fc=ap op0=r op1=r op2=r r=xmm1 r=ds r=eax rm=ds:eax;Packed128_UInt8 r=eax;edx w=xmm0
# vpcmpestrm xmm2,xmm3,0A5h
C4E379 60 D3 A5, VEX_Vpcmpestrm_xmm_xmmm128_imm8, VEX, AVX, fw=cosz fc=ap op0=r op1=r op2=r r=xmm2 r=xmm3 r=eax;edx w=vmm0
# vpcmpestrm xmm2,[eax],0A5h
C4E379 60 10 A5, VEX_Vpcmpestrm_xmm_xmmm128_imm8, VEX, AVX, fw=cosz fc=ap op0=r op1=r op2=r r=xmm2 r=ds r=eax rm=ds:eax;Packed128_UInt8 r=eax;edx w=vmm0
# pcmpestri xmm1,xmm5,0A5h
66 0F3A61 CD A5, Pcmpestri_xmm_xmmm128_imm8, Legacy, SSE4_2, fw=cosz fc=ap op0=r op1=r op2=r r=xmm1 r=xmm5 r=eax;edx w=ecx
# pcmpestri xmm1,[eax],0A5h
66 0F3A61 08 A5, Pcmpestri_xmm_xmmm128_imm8, Legacy, SSE4_2, fw=cosz fc=ap op0=r op1=r op2=r r=xmm1 r=ds r=eax rm=ds:eax;Packed128_UInt8 r=eax;edx w=ecx
# vpcmpestri xmm2,xmm3,0A5h
C4E379 61 D3 A5, VEX_Vpcmpestri_xmm_xmmm128_imm8, VEX, AVX, fw=cosz fc=ap op0=r op1=r op2=r r=xmm2 r=xmm3 r=eax;edx w=ecx
# vpcmpestri xmm2,[eax],0A5h
C4E379 61 10 A5, VEX_Vpcmpestri_xmm_xmmm128_imm8, VEX, AVX, fw=cosz fc=ap op0=r op1=r op2=r r=xmm2 r=ds r=eax rm=ds:eax;Packed128_UInt8 r=eax;edx w=ecx
# pcmpistrm xmm1,xmm5,0A5h
66 0F3A62 CD A5, Pcmpistrm_xmm_xmmm128_imm8, Legacy, SSE4_2, fw=cosz fc=ap op0=r op1=r op2=r r=xmm1 r=xmm5 w=xmm0
# pcmpistrm xmm1,[eax],0A5h
66 0F3A62 08 A5, Pcmpistrm_xmm_xmmm128_imm8, Legacy, SSE4_2, fw=cosz fc=ap op0=r op1=r op2=r r=xmm1 r=ds r=eax rm=ds:eax;Packed128_UInt8 w=xmm0
# vpcmpistrm xmm2,xmm3,0A5h
C4E379 62 D3 A5, VEX_Vpcmpistrm_xmm_xmmm128_imm8, VEX, AVX, fw=cosz fc=ap op0=r op1=r op2=r r=xmm2 r=xmm3 w=vmm0
# vpcmpistrm xmm2,[eax],0A5h
C4E379 62 10 A5, VEX_Vpcmpistrm_xmm_xmmm128_imm8, VEX, AVX, fw=cosz fc=ap op0=r op1=r op2=r r=xmm2 r=ds r=eax rm=ds:eax;Packed128_UInt8 w=vmm0
# pcmpistri xmm1,xmm5,0A5h
66 0F3A63 CD A5, Pcmpistri_xmm_xmmm128_imm8, Legacy, SSE4_2, fw=cosz fc=ap op0=r op1=r op2=r r=xmm1 r=xmm5 w=ecx
# pcmpistri xmm1,[eax],0A5h
66 0F3A63 08 A5, Pcmpistri_xmm_xmmm128_imm8, Legacy, SSE4_2, fw=cosz fc=ap op0=r op1=r op2=r r=xmm1 r=ds r=eax rm=ds:eax;Packed128_UInt8 w=ecx
# vpcmpistri xmm2,xmm3,0A5h
C4E379 63 D3 A5, VEX_Vpcmpistri_xmm_xmmm128_imm8, VEX, AVX, fw=cosz fc=ap op0=r op1=r op2=r r=xmm2 r=xmm3 w=ecx
# vpcmpistri xmm2,[eax],0A5h
C4E379 63 10 A5, VEX_Vpcmpistri_xmm_xmmm128_imm8, VEX, AVX, fw=cosz fc=ap op0=r op1=r op2=r r=xmm2 r=ds r=eax rm=ds:eax;Packed128_UInt8 w=ecx
# vmrun ax
67 0F01 D8, Vmrunw, Legacy, SVM, fr=acopszidA priv save-restore flow=Call r=ax
# vmrun eax
0F01 D8, Vmrund, Legacy, SVM, fr=acopszidA priv save-restore flow=Call r=eax
# vmmcall
0F01 D9, Vmmcall, Legacy, SVM, flow=Call
# vmload ax
67 0F01 DA, Vmloadw, Legacy, SVM, priv r=ax w=fs;gs
# vmload eax
0F01 DA, Vmloadd, Legacy, SVM, priv r=eax w=fs;gs
# vmsave ax
67 0F01 DB, Vmsavew, Legacy, SVM, priv r=ax;fs;gs
# vmsave eax
0F01 DB, Vmsaved, Legacy, SVM, priv r=eax;fs;gs
# skinit eax
0F01 DE, Skinit, Legacy, SKINIT_or_SVM, fc=acopszidA priv flow=Return w=cr0;cr2-cr4 w=dr0-dr3;dr6;dr7 w=es-gs r=eax w=eax-edi
# invlpga ax,ecx
67 0F01 DF, Invlpgaw, Legacy, SVM, priv r=ax;ecx
# invlpga eax,ecx
0F01 DF, Invlpgad, Legacy, SVM, priv r=eax;ecx
# monitorx ax,ecx,edx
67 0F01 FA, Monitorxw, Legacy, MONITORX, r=ds;ax;ecx;edx
# monitorx eax,ecx,edx
0F01 FA, Monitorxd, Legacy, MONITORX, r=ds;eax;ecx;edx
# mwaitx eax,ecx,ebx
0F01 FB, Mwaitx, Legacy, MONITORX, r=eax;ecx cr=ebx
# clzero
67 0F01 FC, Clzerow, Legacy, CLZERO, r=ax;ds
# clzero
0F01 FC, Clzerod, Legacy, CLZERO, r=eax;ds
# rdpru
0F01 FD, Rdpru, Legacy, RDPRU, fw=c fc=aopsz r=ecx w=eax;edx
# add es:[eax],bh
26 00 38, Add_rm8_r8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r r=es r=eax r=bh rwm=es:eax;UInt8
# add cs:[eax],bh
2E 00 38, Add_rm8_r8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r r=cs r=eax r=bh rwm=cs:eax;UInt8
# add ss:[eax],bh
36 00 38, Add_rm8_r8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r r=ss r=eax r=bh rwm=ss:eax;UInt8
# add ds:[eax],bh
3E 00 38, Add_rm8_r8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r r=ds r=eax r=bh rwm=ds:eax;UInt8
# add fs:[eax],bh
64 00 38, Add_rm8_r8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r r=fs r=eax r=bh rwm=fs:eax;UInt8
# add gs:[eax],bh
65 00 38, Add_rm8_r8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r r=gs r=eax r=bh rwm=gs:eax;UInt8
# add cl,5Ah
82 C1 5A, Add_rm8_imm8_82, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=cl
# add byte ptr [eax],5Ah
82 00 5A, Add_rm8_imm8_82, Legacy, INTEL8086, fw=oszacp op0=rw op1=r r=ds r=eax rwm=ds:eax;UInt8
# or dl,0A5h
82 CA A5, Or_rm8_imm8_82, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=dl
# or byte ptr [eax],0A5h
82 08 A5, Or_rm8_imm8_82, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r r=ds r=eax rwm=ds:eax;UInt8
# adc bl,5Ah
82 D3 5A, Adc_rm8_imm8_82, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=bl
# adc byte ptr [eax],5Ah
82 10 5A, Adc_rm8_imm8_82, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r r=ds r=eax rwm=ds:eax;UInt8
# sbb ah,0A5h
82 DC A5, Sbb_rm8_imm8_82, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=ah
# sbb byte ptr [eax],0A5h
82 18 A5, Sbb_rm8_imm8_82, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r r=ds r=eax rwm=ds:eax;UInt8
# and ch,5Ah
82 E5 5A, And_rm8_imm8_82, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=ch
# and byte ptr [eax],5Ah
82 20 5A, And_rm8_imm8_82, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r r=ds r=eax rwm=ds:eax;UInt8
# sub dh,0A5h
82 EE A5, Sub_rm8_imm8_82, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=dh
# sub byte ptr [eax],0A5h
82 28 A5, Sub_rm8_imm8_82, Legacy, INTEL8086, fw=oszacp op0=rw op1=r r=ds r=eax rwm=ds:eax;UInt8
# xor bh,5Ah
82 F7 5A, Xor_rm8_imm8_82, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=bh
# xor byte ptr [eax],5Ah
82 30 5A, Xor_rm8_imm8_82, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r r=ds r=eax rwm=ds:eax;UInt8
# cmp al,0A5h
82 F8 A5, Cmp_rm8_imm8_82, Legacy, INTEL8086, fw=oszacp op0=r op1=r r=al
# cmp byte ptr [eax],0A5h
82 38 A5, Cmp_rm8_imm8_82, Legacy, INTEL8086, fw=oszacp op0=r op1=r r=ds r=eax rm=ds:eax;UInt8
# fstenv fpuenv14 ptr [eax]
9B 66 D9 30, Fstenv_m14byte, Legacy, FPU, fr=0123 fu=0123 op0=w r=ds r=eax wm=ds:eax;FpuEnv14 special
# fstenv [eax]
9B D9 30, Fstenv_m28byte, Legacy, FPU387, fr=0123 fu=0123 op0=w r=ds r=eax wm=ds:eax;FpuEnv28 special
# frstpm
DB E5, Frstpm, Legacy, FPU287XL_ONLY, fu=0123 decopt=OldFpu
# fsave fpustate94 ptr [eax]
9B 66 DD 30, Fsave_m94byte, Legacy, FPU, fpu-writes-top fr=0123 fc=0123 op0=w r=ds r=eax r=st0-st7;mm0-mm7 wm=ds:eax;FpuState94 special
# fsave [eax]
9B DD 30, Fsave_m108byte, Legacy, FPU387, fpu-writes-top fr=0123 fc=0123 op0=w r=ds r=eax r=st0-st7;mm0-mm7 wm=ds:eax;FpuState108 special
# fnstdw ax
DF E1, Fnstdw_AX, Legacy, FPU387SL_ONLY, fu=0123 decopt=OldFpu op0=w w=ax
# fstdw ax
9B DF E1, Fstdw_AX, Legacy, FPU387SL_ONLY, fu=0123 decopt=OldFpu op0=w w=ax special
# fnstsg ax
DF E2, Fnstsg_AX, Legacy, FPU387SL_ONLY, fu=0123 decopt=OldFpu op0=w w=ax
# fstsg ax
9B DF E2, Fstsg_AX, Legacy, FPU387SL_ONLY, fu=0123 decopt=OldFpu op0=w w=ax special
# jmpe cx
66 0F00 F1, Jmpe_rm16, Legacy, IA64, flow=IndirectBranch op0=r r=cx decopt=Jmpe
# jmpe word ptr [eax]
66 0F00 30, Jmpe_rm16, Legacy, IA64, flow=IndirectBranch op0=r r=ds r=eax rm=ds:eax;WordOffset decopt=Jmpe
# jmpe edx
0F00 F2, Jmpe_rm32, Legacy, IA64, flow=IndirectBranch op0=r r=edx decopt=Jmpe
# jmpe dword ptr [eax]
0F00 30, Jmpe_rm32, Legacy, IA64, flow=IndirectBranch op0=r r=ds r=eax rm=ds:eax;DwordOffset decopt=Jmpe
# storeall
0F04, Storeall, Legacy, INTEL286_ONLY, decopt=Loadall286 priv save-restore
# loadall286
0F05, Loadall286, Legacy, INTEL286_ONLY, decopt=Loadall286 priv save-restore
# loadall386
0F07, Loadall386, Legacy, INTEL386_ONLY, decopt=Loadall386 priv save-restore r=es;edi
# umov dh,cl
